date,year,month,day,weekday,weekday_num,is_weekend,is_holiday,holiday_name,rokuyou,junishi,is_taian,is_ichiryumanbai,is_tensha,is_tora_no_hi,is_mi_no_hi,temp_max,temp_min,temp_mean,precipitation,weather
2022-08-28,2022,8,28,日,6,True,False,,友引,丑,False,False,False,False,False,24.0,20.7,22.0,10.2,雨
2022-08-29,2022,8,29,月,0,False,False,,先負,寅,False,False,False,True,False,23.2,20.0,21.7,2.4,雨
2022-08-30,2022,8,30,火,1,False,False,,仏滅,卯,False,False,False,False,False,23.6,20.5,21.9,0.2,小雨
2022-08-31,2022,8,31,水,2,False,False,,大安,辰,True,True,False,False,False,29.2,21.5,25.1,0.8,雨
2022-09-01,2022,9,1,木,3,False,False,,赤口,巳,False,True,False,False,True,27.5,24.7,26.0,12.0,雨
2022-09-02,2022,9,2,金,4,False,False,,先勝,午,False,False,False,False,False,24.5,22.2,23.4,1.5,小雨
2022-09-03,2022,9,3,土,5,True,False,,友引,未,False,False,False,False,False,24.5,22.0,23.0,0.7,小雨
2022-09-04,2022,9,4,日,6,True,False,,先負,申,False,False,False,False,False,25.2,22.0,23.5,0.0,曇り
2022-09-05,2022,9,5,月,0,False,False,,仏滅,酉,False,False,False,False,False,25.1,22.4,23.6,0.0,曇り
2022-09-06,2022,9,6,火,1,False,False,,大安,戌,True,True,False,False,False,27.1,22.9,25.1,0.6,小雨
2022-09-07,2022,9,7,水,2,False,False,,赤口,亥,False,False,False,False,False,26.8,23.5,24.8,16.9,雨
2022-09-08,2022,9,8,木,3,False,False,,先勝,子,False,False,False,False,False,25.0,22.6,23.6,1.1,雨
2022-09-09,2022,9,9,金,4,False,False,,友引,丑,False,False,False,False,False,24.9,22.0,23.1,0.6,小雨
2022-09-10,2022,9,10,土,5,True,False,,先負,寅,False,False,False,True,False,24.8,21.6,22.9,0.0,曇り
2022-09-11,2022,9,11,日,6,True,False,,仏滅,卯,False,False,False,False,False,24.4,21.6,22.9,0.0,曇り
2022-09-12,2022,9,12,月,0,False,False,,大安,辰,True,False,False,False,False,25.5,21.6,23.4,3.7,雨
2022-09-13,2022,9,13,火,1,False,False,,赤口,巳,False,False,False,False,True,26.2,22.3,23.8,1.2,小雨
2022-09-14,2022,9,14,水,2,False,False,,先勝,午,False,False,False,False,False,25.9,21.6,23.5,0.0,曇り
2022-09-15,2022,9,15,木,3,False,False,,友引,未,False,True,False,False,False,22.9,20.3,21.8,0.0,曇り
2022-09-16,2022,9,16,金,4,False,False,,先負,申,False,True,False,False,False,25.4,17.2,22.5,0.0,曇り
2022-09-17,2022,9,17,土,5,True,False,,仏滅,酉,False,False,False,False,False,26.8,22.0,25.0,0.2,小雨
2022-09-18,2022,9,18,日,6,True,False,,大安,戌,True,False,False,False,False,28.0,23.5,25.4,11.1,雨
2022-09-19,2022,9,19,月,0,False,True,敬老の日,赤口,亥,False,True,False,False,False,28.9,23.9,26.3,10.4,雨
2022-09-20,2022,9,20,火,1,False,False,,先勝,子,False,False,False,False,False,28.9,18.8,24.0,14.1,雨
2022-09-21,2022,9,21,水,2,False,False,,友引,丑,False,False,False,False,False,21.1,17.6,19.0,1.1,雨
2022-09-22,2022,9,22,木,3,False,False,,先負,寅,False,False,False,True,False,22.5,18.1,20.4,0.0,曇り
2022-09-23,2022,9,23,金,4,False,True,秋分の日,仏滅,卯,False,False,False,False,False,24.6,20.6,22.8,6.2,雨
2022-09-24,2022,9,24,土,5,True,False,,大安,辰,True,False,False,False,False,25.8,21.3,24.2,18.8,雨
2022-09-25,2022,9,25,日,6,True,False,,赤口,巳,False,False,False,False,True,22.7,19.4,21.0,0.0,曇り
2022-09-26,2022,9,26,月,0,False,False,,先勝,午,False,False,False,False,False,24.0,16.9,20.7,0.0,曇り
2022-09-27,2022,9,27,火,1,False,False,,友引,未,False,False,False,False,False,23.9,18.0,21.3,0.0,曇り
2022-09-28,2022,9,28,水,2,False,False,,先負,申,False,False,False,False,False,23.1,19.4,21.0,0.0,曇り
2022-09-29,2022,9,29,木,3,False,False,,仏滅,酉,False,False,False,False,False,24.2,17.2,20.5,0.0,曇り
2022-09-30,2022,9,30,金,4,False,False,,大安,戌,True,True,False,False,False,24.5,15.9,21.3,0.1,小雨
2022-10-01,2022,10,1,土,5,True,False,,赤口,亥,False,False,False,False,False,24.6,18.8,21.9,0.0,晴れ
2022-10-02,2022,10,2,日,6,True,False,,先勝,子,False,False,False,False,False,24.3,16.0,20.6,0.0,曇り
2022-10-03,2022,10,3,月,0,False,False,,友引,丑,False,False,False,False,False,23.5,18.6,21.3,0.0,曇り
2022-10-04,2022,10,4,火,1,False,False,,先負,寅,False,False,False,True,False,27.5,19.4,23.4,0.0,曇り
2022-10-05,2022,10,5,水,2,False,False,,仏滅,卯,False,False,False,False,False,22.7,15.6,19.4,6.8,雨
2022-10-06,2022,10,6,木,3,False,False,,大安,辰,True,False,False,False,False,15.4,12.3,14.2,12.9,雨
2022-10-07,2022,10,7,金,4,False,False,,赤口,巳,False,False,False,False,True,16.3,12.1,14.7,55.6,大雨
2022-10-08,2022,10,8,土,5,True,False,,先勝,午,False,True,False,False,False,20.0,12.4,16.3,1.0,雨
2022-10-09,2022,10,9,日,6,True,False,,友引,未,False,False,False,False,False,20.2,15.6,17.8,5.2,雨
2022-10-10,2022,10,10,月,0,False,True,スポーツの日,先負,申,False,False,False,False,False,23.9,16.5,20.0,14.1,雨
2022-10-11,2022,10,11,火,1,False,False,,仏滅,酉,False,False,False,False,False,22.1,16.4,20.3,0.0,曇り
2022-10-12,2022,10,12,水,2,False,False,,大安,戌,True,True,False,False,False,19.4,15.8,17.9,1.4,雨
2022-10-13,2022,10,13,木,3,False,False,,赤口,亥,False,True,False,False,False,18.4,16.6,17.6,8.2,雨
2022-10-14,2022,10,14,金,4,False,False,,先勝,子,False,False,False,False,False,19.9,17.1,18.6,1.7,雨
2022-10-15,2022,10,15,土,5,True,False,,友引,丑,False,False,False,False,False,21.8,18.0,19.7,0.0,曇り
2022-10-16,2022,10,16,日,6,True,False,,先負,寅,False,False,False,True,False,20.6,16.7,18.6,0.0,曇り
2022-10-17,2022,10,17,月,0,False,False,,仏滅,卯,False,False,False,False,False,22.6,16.1,19.4,4.5,雨
2022-10-18,2022,10,18,火,1,False,False,,大安,辰,True,False,False,False,False,18.5,13.8,16.2,8.5,雨
2022-10-19,2022,10,19,水,2,False,False,,赤口,巳,False,False,False,False,True,18.0,12.2,14.9,0.0,曇り
2022-10-20,2022,10,20,木,3,False,False,,先勝,午,False,False,False,False,False,18.8,9.8,13.6,0.0,晴れ
2022-10-21,2022,10,21,金,4,False,False,,友引,未,False,True,False,False,False,20.4,8.2,14.5,0.0,曇り
2022-10-22,2022,10,22,土,5,True,False,,先負,申,False,False,True,False,False,20.3,12.4,16.1,0.0,曇り
2022-10-23,2022,10,23,日,6,True,False,,仏滅,酉,False,False,False,False,False,21.7,11.5,16.6,0.4,小雨
2022-10-24,2022,10,24,月,0,False,False,,大安,戌,True,False,False,False,False,15.3,11.8,13.5,8.2,雨
2022-10-25,2022,10,25,火,1,False,False,,赤口,亥,False,False,False,False,False,15.4,12.3,13.4,1.6,雨
2022-10-26,2022,10,26,水,2,False,False,,先勝,子,False,False,False,False,False,16.3,10.0,13.3,0.7,雨
2022-10-27,2022,10,27,木,3,False,False,,友引,丑,False,True,False,False,False,16.4,8.6,12.4,0.0,曇り
2022-10-28,2022,10,28,金,4,False,False,,先負,寅,False,True,False,True,False,18.8,8.8,13.8,0.0,晴れ
2022-10-29,2022,10,29,土,5,True,False,,仏滅,卯,False,False,False,False,False,19.6,10.6,14.7,0.0,晴れ
2022-10-30,2022,10,30,日,6,True,False,,大安,辰,True,False,False,False,False,17.9,8.4,13.3,0.0,曇り
2022-10-31,2022,10,31,月,0,False,False,,赤口,巳,False,False,False,False,True,17.6,9.8,14.1,0.0,晴れ
2022-11-01,2022,11,1,火,1,False,False,,先勝,午,False,False,False,False,False,17.9,13.1,15.4,2.1,小雨
2022-11-02,2022,11,2,水,2,False,False,,友引,未,False,False,False,False,False,20.2,10.4,15.3,0.0,曇り
2022-11-03,2022,11,3,木,3,False,True,文化の日,先負,申,False,False,False,False,False,21.4,9.9,15.3,0.0,曇り
2022-11-04,2022,11,4,金,4,False,False,,仏滅,酉,False,False,False,False,False,16.5,11.4,14.1,0.0,曇り
2022-11-05,2022,11,5,土,5,True,False,,大安,戌,True,False,False,False,False,15.8,10.0,12.5,0.0,曇り
2022-11-06,2022,11,6,日,6,True,False,,赤口,亥,False,False,False,False,False,16.9,7.8,12.2,0.0,晴れ
2022-11-07,2022,11,7,月,0,False,False,,先勝,子,False,False,True,False,False,19.0,7.8,13.1,0.2,小雨
2022-11-08,2022,11,8,火,1,False,False,,友引,丑,False,True,False,False,False,19.0,9.6,14.0,1.1,雨
2022-11-09,2022,11,9,水,2,False,False,,先負,寅,False,True,False,True,False,17.4,7.6,12.6,0.0,晴れ
2022-11-10,2022,11,10,木,3,False,False,,仏滅,卯,False,False,False,False,False,19.5,8.8,13.4,0.0,曇り
2022-11-11,2022,11,11,金,4,False,False,,大安,辰,True,False,False,False,False,18.9,9.4,15.0,0.0,晴れ
2022-11-12,2022,11,12,土,5,True,False,,赤口,巳,False,False,False,False,True,19.3,13.2,16.3,0.3,小雨
2022-11-13,2022,11,13,日,6,True,False,,先勝,午,False,False,False,False,False,22.5,12.8,16.9,4.7,雨
2022-11-14,2022,11,14,月,0,False,False,,友引,未,False,False,False,False,False,17.0,12.1,14.5,0.0,曇り
2022-11-15,2022,11,15,火,1,False,False,,先負,申,False,False,False,False,False,13.6,8.6,12.2,10.7,雨
2022-11-16,2022,11,16,水,2,False,False,,仏滅,酉,False,False,False,False,False,15.2,7.3,10.9,0.0,曇り
2022-11-17,2022,11,17,木,3,False,False,,大安,戌,True,False,False,False,False,15.3,6.9,11.5,0.3,小雨
2022-11-18,2022,11,18,金,4,False,False,,赤口,亥,False,False,False,False,False,15.1,9.2,12.2,0.0,曇り
2022-11-19,2022,11,19,土,5,True,False,,先勝,子,False,False,False,False,False,15.8,8.1,12.3,0.0,曇り
2022-11-20,2022,11,20,日,6,True,False,,友引,丑,False,False,False,False,False,16.5,12.6,14.2,5.3,雨
2022-11-21,2022,11,21,月,0,False,False,,先負,寅,False,False,False,True,False,17.6,12.2,15.1,6.5,雨
2022-11-22,2022,11,22,火,1,False,False,,仏滅,卯,False,True,False,False,False,19.2,10.1,14.2,0.0,曇り
2022-11-23,2022,11,23,水,2,False,True,勤労感謝の日,大安,辰,True,True,False,False,False,15.4,11.6,13.6,57.9,大雨
2022-11-24,2022,11,24,木,3,False,False,,赤口,巳,False,True,False,False,True,18.1,11.9,14.7,0.9,雨
2022-11-25,2022,11,25,金,4,False,False,,先勝,午,False,False,False,False,False,15.1,9.5,12.1,0.0,曇り
2022-11-26,2022,11,26,土,5,True,False,,友引,未,False,False,False,False,False,15.4,10.4,13.3,6.4,雨
2022-11-27,2022,11,27,日,6,True,False,,先負,申,False,False,False,False,False,15.9,7.1,11.8,0.0,曇り
2022-11-28,2022,11,28,月,0,False,False,,仏滅,酉,False,False,False,False,False,15.0,7.1,11.6,0.0,曇り
2022-11-29,2022,11,29,火,1,False,False,,大安,戌,True,False,False,False,False,20.6,11.4,16.8,1.4,雨
2022-11-30,2022,11,30,水,2,False,False,,赤口,亥,False,False,False,False,False,18.4,11.9,16.3,21.8,大雨
2022-12-01,2022,12,1,木,3,False,False,,先勝,子,False,False,False,False,False,11.3,8.1,9.1,3.9,雨
2022-12-02,2022,12,2,金,4,False,False,,友引,丑,False,False,False,False,False,10.4,5.8,8.4,1.1,雨
2022-12-03,2022,12,3,土,5,True,False,,先負,寅,False,False,False,True,False,13.4,5.1,9.3,0.0,曇り
2022-12-04,2022,12,4,日,6,True,False,,仏滅,卯,False,False,False,False,False,15.6,3.6,8.9,0.0,曇り
2022-12-05,2022,12,5,月,0,False,False,,大安,辰,True,True,False,False,False,8.9,6.6,7.5,10.2,雨
2022-12-06,2022,12,6,火,1,False,False,,赤口,巳,False,True,False,False,True,7.7,5.1,6.4,19.8,雨
2022-12-07,2022,12,7,水,2,False,False,,先勝,午,False,False,False,False,False,12.6,2.0,7.2,0.0,曇り
2022-12-08,2022,12,8,木,3,False,False,,友引,未,False,False,False,False,False,12.7,3.1,6.9,0.0,晴れ
2022-12-09,2022,12,9,金,4,False,False,,先負,申,False,False,False,False,False,12.4,3.5,8.1,0.1,小雨
2022-12-10,2022,12,10,土,5,True,False,,仏滅,酉,False,False,False,False,False,14.4,3.7,9.7,0.0,曇り
2022-12-11,2022,12,11,日,6,True,False,,大安,戌,True,True,False,False,False,12.6,5.8,9.6,0.7,小雨
2022-12-12,2022,12,12,月,0,False,False,,赤口,亥,False,False,False,False,False,10.4,5.3,8.2,0.0,曇り
2022-12-13,2022,12,13,火,1,False,False,,先勝,子,False,False,False,False,False,11.2,4.9,7.5,4.6,雨
2022-12-14,2022,12,14,水,2,False,False,,友引,丑,False,False,False,False,False,12.6,1.9,6.2,0.3,小雨
2022-12-15,2022,12,15,木,3,False,False,,先負,寅,False,False,False,True,False,10.5,0.4,4.8,0.0,曇り
2022-12-16,2022,12,16,金,4,False,False,,仏滅,卯,False,False,False,False,False,11.7,-0.3,4.9,0.0,晴れ
2022-12-17,2022,12,17,土,5,True,False,,大安,辰,True,False,False,False,False,10.2,2.8,6.7,4.0,雨
2022-12-18,2022,12,18,日,6,True,False,,赤口,巳,False,False,False,False,True,9.1,2.1,5.7,3.9,雨
2022-12-19,2022,12,19,月,0,False,False,,先勝,午,False,False,False,False,False,8.1,-1.3,3.2,0.0,晴れ
2022-12-20,2022,12,20,火,1,False,False,,友引,未,False,True,False,False,False,8.6,-0.9,2.7,0.0,晴れ
2022-12-21,2022,12,21,水,2,False,False,,先負,申,False,True,False,False,False,11.2,-1.1,5.4,0.3,小雨
2022-12-22,2022,12,22,木,3,False,False,,仏滅,酉,False,False,False,False,False,11.6,5.3,8.1,20.1,雨
2022-12-23,2022,12,23,金,4,False,False,,大安,戌,True,False,False,False,False,7.0,2.8,4.5,0.0,晴れ
2022-12-24,2022,12,24,土,5,True,False,,赤口,亥,False,True,False,False,False,8.2,-0.2,4.0,0.0,曇り
2022-12-25,2022,12,25,日,6,True,False,,先勝,子,False,False,False,False,False,9.4,-0.3,4.0,0.2,小雨
2022-12-26,2022,12,26,月,0,False,False,,友引,丑,False,False,False,False,False,7.9,0.4,4.2,0.0,晴れ
2022-12-27,2022,12,27,火,1,False,False,,先負,寅,False,False,False,True,False,10.4,0.8,4.6,0.0,晴れ
2022-12-28,2022,12,28,水,2,False,False,,仏滅,卯,False,False,False,False,False,11.4,0.2,4.6,0.0,晴れ
2022-12-29,2022,12,29,木,3,False,False,,大安,辰,True,False,False,False,False,12.1,1.6,5.5,0.0,晴れ
2022-12-30,2022,12,30,金,4,False,False,,赤口,巳,False,False,False,False,True,9.1,0.8,5.1,0.0,晴れ
2022-12-31,2022,12,31,土,5,True,False,,先勝,午,False,False,False,False,False,9.4,0.9,5.2,0.0,晴れ
2023-01-01,2023,1,1,日,6,True,True,元日,友引,未,False,False,False,False,False,11.4,-1.9,4.5,0.0,晴れ
2023-01-02,2023,1,2,月,0,False,False,,先負,申,False,False,False,False,False,8.6,1.3,4.6,0.0,晴れ
2023-01-03,2023,1,3,火,1,False,False,,仏滅,酉,False,False,False,False,False,8.8,0.3,3.7,0.0,晴れ
2023-01-04,2023,1,4,水,2,False,False,,大安,戌,True,False,False,False,False,8.1,0.6,3.3,0.4,小雨
2023-01-05,2023,1,5,木,3,False,False,,赤口,亥,False,False,False,False,False,7.9,-3.1,2.1,0.0,晴れ
2023-01-06,2023,1,6,金,4,False,False,,先勝,子,False,True,True,False,False,7.9,-1.5,3.0,0.0,曇り
2023-01-07,2023,1,7,土,5,True,False,,友引,丑,False,False,False,False,False,8.4,1.5,5.1,3.4,雨
2023-01-08,2023,1,8,日,6,True,False,,先負,寅,False,False,False,True,False,11.1,1.1,5.2,0.0,曇り
2023-01-09,2023,1,9,月,0,False,True,成人の日,仏滅,卯,False,False,False,False,False,12.4,0.7,6.2,0.0,晴れ
2023-01-10,2023,1,10,火,1,False,False,,大安,辰,True,False,False,False,False,6.2,0.1,4.1,0.1,小雨
2023-01-11,2023,1,11,水,2,False,False,,赤口,巳,False,False,False,False,True,9.6,-2.6,3.1,0.0,晴れ
2023-01-12,2023,1,12,木,3,False,False,,先勝,午,False,True,False,False,False,12.1,-2.2,3.9,0.0,曇り
2023-01-13,2023,1,13,金,4,False,False,,友引,未,False,True,False,False,False,14.0,-0.9,6.6,0.0,曇り
2023-01-14,2023,1,14,土,5,True,False,,先負,申,False,False,False,False,False,13.5,5.1,9.2,1.5,雨
2023-01-15,2023,1,15,日,6,True,False,,仏滅,酉,False,False,False,False,False,11.9,7.7,9.8,4.7,雨
2023-01-16,2023,1,16,月,0,False,False,,大安,戌,True,False,False,False,False,8.2,3.8,6.4,9.2,雨
2023-01-17,2023,1,17,火,1,False,False,,赤口,亥,False,False,False,False,False,7.7,1.4,4.3,0.0,曇り
2023-01-18,2023,1,18,水,2,False,False,,先勝,子,False,False,False,False,False,12.2,4.0,7.1,0.0,曇り
2023-01-19,2023,1,19,木,3,False,False,,友引,丑,False,True,False,False,False,8.2,3.5,6.0,0.0,曇り
2023-01-20,2023,1,20,金,4,False,False,,先負,寅,False,False,False,True,False,11.2,4.8,7.1,0.9,小雨
2023-01-21,2023,1,21,土,5,True,False,,仏滅,卯,False,False,False,False,False,6.8,-0.8,3.7,0.0,曇り
2023-01-22,2023,1,22,日,6,True,False,,大安,辰,True,False,False,False,False,7.7,-2.2,3.2,0.0,曇り
2023-01-23,2023,1,23,月,0,False,False,,赤口,巳,False,False,False,False,True,7.6,2.4,5.7,3.2,雨
2023-01-24,2023,1,24,火,1,False,False,,先勝,午,False,False,False,False,False,8.0,-3.2,3.2,7.4,雪
2023-01-25,2023,1,25,水,2,False,False,,友引,未,False,False,False,False,False,0.6,-4.7,-2.1,0.1,雪
2023-01-26,2023,1,26,木,3,False,False,,先負,申,False,False,False,False,False,6.9,-2.6,1.5,0.0,曇り
2023-01-27,2023,1,27,金,4,False,False,,仏滅,酉,False,True,False,False,False,6.8,0.4,3.1,12.8,大雪
2023-01-28,2023,1,28,土,5,True,False,,大安,戌,True,True,False,False,False,4.9,-2.0,1.0,0.6,雪
2023-01-29,2023,1,29,日,6,True,False,,赤口,亥,False,False,False,False,False,7.5,-1.9,2.1,0.0,晴れ
2023-01-30,2023,1,30,月,0,False,False,,先勝,子,False,False,False,False,False,8.8,0.9,4.3,0.3,小雨
2023-01-31,2023,1,31,火,1,False,False,,友引,丑,False,False,False,False,False,5.7,-0.3,2.2,0.0,晴れ
2023-02-01,2023,2,1,水,2,False,False,,先負,寅,False,False,False,True,False,11.6,-3.4,4.3,0.0,曇り
2023-02-02,2023,2,2,木,3,False,False,,仏滅,卯,False,False,False,False,False,7.8,1.1,4.7,0.0,曇り
2023-02-03,2023,2,3,金,4,False,False,,大安,辰,True,False,False,False,False,5.9,0.4,3.5,0.0,曇り
2023-02-04,2023,2,4,土,5,True,False,,赤口,巳,False,False,False,False,True,9.3,2.0,5.6,0.0,曇り
2023-02-05,2023,2,5,日,6,True,False,,先勝,午,False,False,False,False,False,8.6,-0.6,5.1,0.0,曇り
2023-02-06,2023,2,6,月,0,False,False,,友引,未,False,False,False,False,False,12.7,1.2,7.4,0.1,小雨
2023-02-07,2023,2,7,火,1,False,False,,先負,申,False,True,False,False,False,12.9,4.7,8.9,1.6,雨
2023-02-08,2023,2,8,水,2,False,False,,仏滅,酉,False,True,False,False,False,9.6,3.8,7.3,2.6,雨
2023-02-09,2023,2,9,木,3,False,False,,大安,戌,True,True,False,False,False,8.4,1.8,4.1,0.0,曇り
2023-02-10,2023,2,10,金,4,False,False,,赤口,亥,False,False,False,False,False,7.3,0.3,5.2,29.8,雨
2023-02-11,2023,2,11,土,5,True,True,建国記念の日,先勝,子,False,False,False,False,False,11.4,5.6,7.6,0.6,雨
2023-02-12,2023,2,12,日,6,True,False,,友引,丑,False,False,False,False,False,14.7,2.1,8.2,0.0,曇り
2023-02-13,2023,2,13,月,0,False,False,,先負,寅,False,False,False,True,False,11.1,4.8,8.1,10.3,雨
2023-02-14,2023,2,14,火,1,False,False,,仏滅,卯,False,False,False,False,False,8.2,1.3,3.6,0.0,曇り
2023-02-15,2023,2,15,水,2,False,False,,大安,辰,True,False,False,False,False,5.2,-1.7,1.5,0.0,曇り
2023-02-16,2023,2,16,木,3,False,False,,赤口,巳,False,False,False,False,True,6.7,-1.2,1.9,0.0,晴れ
2023-02-17,2023,2,17,金,4,False,False,,先勝,午,False,False,False,False,False,8.8,-0.8,3.9,0.0,曇り
2023-02-18,2023,2,18,土,5,True,False,,友引,未,False,False,False,False,False,12.2,-0.9,6.9,0.0,曇り
2023-02-19,2023,2,19,日,6,True,False,,先負,申,False,False,False,False,False,16.2,4.7,10.5,0.3,小雨
2023-02-20,2023,2,20,月,0,False,False,,仏滅,酉,False,True,False,False,False,10.3,2.8,6.6,0.5,雪
2023-02-21,2023,2,21,火,1,False,False,,大安,戌,True,False,False,False,False,6.5,0.3,2.8,0.2,雪
2023-02-22,2023,2,22,水,2,False,False,,赤口,亥,False,False,False,False,False,7.4,0.0,3.4,0.0,曇り
2023-02-23,2023,2,23,木,3,False,True,天皇誕生日,先勝,子,False,True,False,False,False,12.4,1.2,7.3,0.7,小雨
2023-02-24,2023,2,24,金,4,False,False,,友引,丑,False,True,False,False,False,12.0,2.8,7.4,3.2,雨
2023-02-25,2023,2,25,土,5,True,False,,先負,寅,False,False,False,True,False,10.6,3.3,6.5,0.1,小雨
2023-02-26,2023,2,26,日,6,True,False,,仏滅,卯,False,False,False,False,False,7.9,0.6,4.0,0.0,曇り
2023-02-27,2023,2,27,月,0,False,False,,大安,辰,True,False,False,False,False,11.1,-1.0,5.6,0.0,晴れ
2023-02-28,2023,2,28,火,1,False,False,,赤口,巳,False,False,False,False,True,16.4,-1.3,8.2,0.0,晴れ
2023-03-01,2023,3,1,水,2,False,False,,先勝,午,False,False,False,False,False,15.7,1.7,9.9,0.0,曇り
2023-03-02,2023,3,2,木,3,False,False,,友引,未,False,False,False,False,False,15.1,4.7,11.3,2.9,雨
2023-03-03,2023,3,3,金,4,False,False,,先負,申,False,False,False,False,False,10.5,-0.6,6.1,0.1,小雨
2023-03-04,2023,3,4,土,5,True,False,,仏滅,酉,False,False,False,False,False,15.4,4.5,9.2,0.0,曇り
2023-03-05,2023,3,5,日,6,True,False,,大安,戌,True,False,False,False,False,9.8,5.9,7.6,0.5,小雨
2023-03-06,2023,3,6,月,0,False,False,,赤口,亥,False,False,False,False,False,11.9,5.0,8.3,2.2,雨
2023-03-07,2023,3,7,火,1,False,False,,先勝,子,False,True,False,False,False,15.9,3.0,9.6,0.0,晴れ
2023-03-08,2023,3,8,水,2,False,False,,友引,丑,False,True,False,False,False,18.6,2.0,10.5,0.0,曇り
2023-03-09,2023,3,9,木,3,False,False,,先負,寅,False,False,False,True,False,17.8,4.1,11.9,0.0,曇り
2023-03-10,2023,3,10,金,4,False,False,,仏滅,卯,False,False,False,False,False,20.0,10.6,14.6,0.9,雨
2023-03-11,2023,3,11,土,5,True,False,,大安,辰,True,True,False,False,False,14.6,5.0,10.9,0.0,晴れ
2023-03-12,2023,3,12,日,6,True,False,,赤口,巳,False,False,False,False,True,15.3,8.5,12.3,0.0,曇り
2023-03-13,2023,3,13,月,0,False,False,,先勝,午,False,False,False,False,False,17.5,7.8,13.1,7.9,雨
2023-03-14,2023,3,14,火,1,False,False,,友引,未,False,False,False,False,False,10.8,5.8,8.0,0.5,小雨
2023-03-15,2023,3,15,水,2,False,False,,先負,申,False,False,False,False,False,13.2,4.7,9.2,0.0,曇り
2023-03-16,2023,3,16,木,3,False,False,,仏滅,酉,False,False,False,False,False,17.5,7.7,13.1,0.0,曇り
2023-03-17,2023,3,17,金,4,False,False,,大安,戌,True,False,False,False,False,12.1,9.1,10.9,1.8,雨
2023-03-18,2023,3,18,土,5,True,False,,赤口,亥,False,False,False,False,False,9.4,6.7,8.2,34.7,雨
2023-03-19,2023,3,19,日,6,True,False,,先勝,子,False,False,False,False,False,13.4,3.9,8.1,0.0,曇り
